user_login,cluster,umap_x,umap_y
edegarbernardes,6,0.16524217,-4.719101
ederserra,2,-2.1236246,-3.5091534
edgarscp,1,-4.613578,-8.053536
edineia,3,-12.995472,-2.3717723
edson73810,13,-6.301095,-1.0568252
edsonbolochio,4,-5.1921673,-5.9022923
edsonkmoedasecdulas,9,-7.329264,-5.002733
edu50,10,-1.5573238,-4.9193234
eduardaferreira,0,-6.624796,-7.544581
eduardahaddad,8,-2.0696561,-8.301277
eduardamaria__13,3,-12.806909,-2.7652156
eduardo_paniaguat,12,-5.2836685,-4.0934796
eduardobiancalana,9,-8.646035,-4.4490886
eduardogelli,2,-3.0886405,-4.236619
eduardoibanez,5,-3.7688384,-2.5960214
eduardop8a,7,-6.082932,-10.129526
eduardoramirez-anapri,11,-2.8786063,-2.6034892
eduardschonburg,1,-3.6163626,-5.9352627
eduborges,12,-5.0506344,-4.200412
edumartins,9,-7.208037,-5.542135
eduruiz1,4,-6.4165363,-6.7667055
edyxxxx,9,-7.2312255,-5.187594
eelopes,6,1.4562825,-3.1016254
efocante,1,-3.6326065,-5.986356
egidiotx,1,-5.632114,-7.9094644
egorbirder,1,-4.4205337,-7.67218
eguetti,10,-1.3552904,-5.39014
ekaterina54,1,-4.711354,-8.201699
ekatherina,10,-2.818721,-5.9123244
el_neotropico,0,-6.5757174,-7.498023
eliana88233,3,-13.040572,-2.287951
elias78813,9,-6.9607315,-5.4312954
eliascontii,1,-3.9823883,-5.8795586
elisa2206,6,1.0581836,-3.277218
elisa_2,0,-9.465305,-6.90763
elisafwg,6,0.030367466,-5.063459
eliseu80306,5,-4.5343833,-3.7029445
eliseumedina,7,-4.7739873,-9.302918
elivieira,7,-4.905936,-9.388895
elizabeth262,11,-3.0470128,-1.5867157
elizabeth_guimaraes_pierobon,1,-4.008791,-5.8946457
ellasouza,3,-12.218819,-2.7930088
ellenhardy,8,-2.256112,-8.397572
ellenhelena_,0,-6.583189,-7.5834827
eloiseaquino,0,-9.559272,-7.052065
elprofer,0,-8.787932,-7.172987
emanoele_freitas,0,-8.533117,-6.9025536
emdo,1,-4.586919,-8.26249
emerson47545,0,-7.8020406,-7.3631315
emilienvadam,3,-12.68684,-2.6599553
emmanueledomingos,3,-13.106767,-2.2203186
emmetts-frogs,1,-4.5203514,-8.321089
emrsa,7,-5.9360847,-10.581878
eneas_jr,4,-5.354662,-4.447747
eneasneto,8,-3.149522,-7.8821235
engelhard,3,-13.216219,-2.327369
enjuliada,0,-7.5660763,-6.8831477
enricotosto96,8,-3.2680304,-8.192267
enzo95534,10,-1.7740545,-5.216368
enzofrediani,13,-6.2648063,-1.090976
enzomarco,4,-5.565625,-6.317464
eoswars,4,-6.4178324,-6.1616855
epgermano,5,-4.97376,-2.4244037
erica_elis1,8,-3.365194,-8.36069
ericaag,11,-2.7420385,-1.6646805
ericfischerrempe,3,-12.3915415,-3.1553268
ericgofreed,11,-2.796771,-1.6017581
erickri,0,-7.9590716,-7.931318
ericksonsmith,0,-7.346785,-7.332388
erikagonzaga,12,-6.3874097,-3.1507406
eslainyrepossi,4,-6.1014743,-5.5964475
esli22,3,-12.198985,-2.60592
essiva,7,-4.5679307,-9.8472185
estaiano,4,-5.3700657,-5.0360465
estela35,8,-2.786498,-8.744778
esteladca,2,-3.342407,-4.6561465
esthrsza,3,-12.503181,-2.8752975
ethanjwagner,7,-5.7606525,-10.831318
evaldojr,3,-12.70925,-2.2921164
evandias,8,-3.5353997,-7.8106527
evellyn8,13,-5.9449778,-0.62360096
evelyn31373,8,-2.5571346,-8.7693615
evelynfreire,8,-3.0600648,-8.444779
explorawr,1,-5.584275,-7.865038
f_raquel99,1,-3.9244814,-6.9984465
fabiana6,10,-1.0402527,-4.9107075
fabiana_lima_silva,10,-1.8418463,-4.9853783
fabilepratti,2,-2.0099537,-3.514944
fabio450,0,-8.013426,-6.9585276
fabiomanfredini,1,-3.968747,-7.5416956
fabiorex,7,-5.136404,-10.047111
fabipcoradini,6,0.22311534,-4.788027
fabricio_reis_costa,7,-5.65609,-10.8787565
